frame,ball_x,ball_y,player11_x1,player11_y1,player11_x2,player11_y2,player12_x1,player12_y1,player12_x2,player12_y2,player21_x1,player21_y1,player21_x2,player21_y2,player22_x1,player22_y1,player22_x2,player22_y2,shot_made,shot_player,shot_type
141,575.0,498.0,803.0,102.5,854.8,194.1,1225.2,90.3,1267.9,171.1,345.5,571.5,455.0,765.7,1224.4,401.9,1330.9,586.9,False,,
142,556.0,489.0,804.7,98.8,855.0,193.4,1218.7,91.6,1263.5,171.9,339.1,565.6,442.3,749.2,1221.4,399.0,1329.1,585.9,False,,
143,535.0,481.0,805.0,96.6,854.4,191.5,1212.1,91.7,1257.5,172.2,322.2,559.0,438.2,741.8,1217.5,396.6,1326.9,586.7,False,,
144,519.0,476.0,805.1,95.3,854.3,190.4,1205.7,88.3,1254.0,172.1,305.9,552.9,435.8,738.1,1211.8,394.1,1324.6,586.7,False,,
145,499.0,471.0,802.9,95.1,854.7,187.8,1200.4,84.5,1248.9,170.6,296.1,545.8,432.8,732.3,1206.2,391.5,1322.2,586.6,False,,
146,483.0,469.0,803.2,94.9,854.8,185.6,1193.1,86.4,1244.4,168.9,294.3,541.0,429.2,724.3,1200.6,389.0,1319.6,586.9,True,player21,smash
147,463.0,464.0,803.3,95.3,855.1,183.3,1187.2,87.5,1240.2,168.1,292.7,537.0,424.5,715.3,1198.8,387.6,1316.5,586.3,False,,
148,445.0,465.0,803.5,95.0,855.8,182.1,1183.2,87.3,1230.5,167.3,297.6,532.7,413.9,704.9,1196.9,385.5,1311.9,585.6,False,,
149,nan,nan,803.0,94.5,856.6,181.7,1179.3,86.5,1224.2,166.7,297.6,527.0,403.3,692.6,1197.1,383.5,1307.6,584.0,False,,
150,nan,nan,801.3,93.5,857.2,181.7,1171.3,86.9,1214.4,166.3,297.2,522.1,397.7,681.8,1197.7,380.9,1303.4,581.1,False,,
151,nan,nan,801.3,93.6,858.2,180.1,1161.9,85.8,1206.0,166.4,295.6,516.0,393.3,676.2,1198.2,377.6,1299.0,573.0,False,,
152,nan,nan,799.8,93.2,859.7,178.8,1152.0,84.1,1201.8,165.9,260.6,510.7,392.9,674.2,1199.2,374.8,1294.8,565.2,False,,
153,nan,nan,800.5,93.1,859.2,176.7,1143.0,83.0,1198.9,166.5,274.3,502.7,393.1,674.1,1199.7,372.0,1291.1,556.8,False,,
154,nan,nan,803.7,92.6,858.9,172.3,1134.7,81.6,1195.7,167.1,288.9,493.9,395.5,674.0,1200.9,368.7,1289.0,550.0,False,,
155,nan,nan,814.0,91.4,860.4,170.6,1127.2,80.8,1191.3,166.3,298.5,486.0,398.0,672.3,1200.4,365.1,1287.4,543.9,False,,
156,nan,nan,815.1,90.4,861.3,170.1,1119.8,80.9,1185.4,164.1,303.8,477.8,398.4,669.6,1200.4,361.7,1286.6,539.7,False,,
157,823.0,19.0,817.6,89.4,861.4,169.3,1119.8,80.5,1179.1,163.4,306.4,471.0,399.4,666.1,1199.7,359.4,1287.0,538.4,False,,
158,nan,nan,822.2,87.0,863.7,166.9,1109.2,80.3,1173.2,161.9,311.3,464.4,424.8,662.1,1199.4,357.5,1288.9,538.2,False,,
159,nan,nan,824.1,86.6,865.1,165.9,1101.8,80.2,1168.5,162.4,316.0,457.3,447.4,655.2,1199.6,355.2,1295.5,537.8,False,,
160,nan,nan,824.0,86.5,865.4,165.3,1095.8,79.7,1164.7,161.6,318.5,450.5,458.8,646.0,1199.5,354.3,1299.3,537.9,False,,
161,nan,nan,824.3,85.5,865.1,163.4,1092.1,81.0,1160.9,160.9,320.4,444.2,475.2,633.7,1196.1,354.3,1297.1,536.6,False,,
162,nan,nan,824.5,83.6,865.7,161.7,1097.6,82.4,1157.7,162.0,321.7,438.5,486.7,622.1,1191.8,353.9,1297.5,533.9,False,,
163,nan,nan,824.3,82.1,866.2,159.7,1095.1,83.2,1153.1,161.0,320.2,433.1,480.0,610.1,1186.1,354.2,1301.0,530.9,False,,
164,nan,nan,824.1,81.2,867.1,158.6,1087.0,86.1,1149.6,161.5,320.7,428.2,476.6,597.1,1182.3,353.6,1302.1,529.9,False,,
